source,sink,freq
NUCLEUS_NETWORK,10.218.105.183:*->162.125.2.12:*,254
NUCLEUS_NETWORK,10.218.105.183:*->162.125.2.13:*,237
NUCLEUS_NETWORK,10.218.105.183:*->162.125.40.1:*,144
NetworkManager,10.218.105.183:*->185.125.190.18:*,24
NetworkManager,10.218.105.183:*->185.125.190.48:*,22
NetworkManager,10.218.105.183:*->185.125.190.49:*,54
NetworkManager,10.218.105.183:*->34.122.121.32:*,9
NetworkManager,10.218.105.183:*->35.224.170.84:*,30
NetworkManager,10.218.105.183:*->35.232.111.17:*,13
NetworkManager,10.218.105.183:*->91.189.91.48:*,15
NetworkManager,10.218.105.183:*->91.189.91.49:*,23
NetworkManager,127.0.0.1:*->127.0.0.53:*,199
P2P_DISCOVER,10.218.105.119:*->10.218.105.183:*,36
P2P_DISCOVER,10.218.105.12:*->10.218.105.183:*,43
P2P_DISCOVER,10.218.105.147:*->10.218.105.183:*,38
P2P_DISCOVER,10.218.105.14:*->10.218.105.183:*,32
P2P_DISCOVER,10.218.105.154:*->10.218.105.183:*,53
P2P_DISCOVER,10.218.105.156:*->10.218.105.183:*,33
P2P_DISCOVER,10.218.105.159:*->10.218.105.183:*,89
P2P_DISCOVER,10.218.105.174:*->10.218.105.183:*,19
P2P_DISCOVER,10.218.105.190:*->10.218.105.183:*,41
P2P_DISCOVER,10.218.105.204:*->10.218.105.183:*,26
P2P_DISCOVER,10.218.105.224:*->10.218.105.183:*,21
P2P_DISCOVER,10.218.105.35:*->10.218.105.183:*,16
P2P_DISCOVER,10.218.105.68:*->10.218.105.183:*,37
P2P_DISCOVER,10.218.106.151:*->10.218.105.183:*,43
P2P_DISCOVER,10.218.106.166:*->10.218.105.183:*,48
P2P_DISCOVER,10.218.106.189:*->10.218.105.183:*,66
P2P_DISCOVER,10.218.106.203:*->10.218.105.183:*,6
P2P_DISCOVER,10.218.106.204:*->10.218.105.183:*,25
P2P_DISCOVER,10.218.106.236:*->10.218.105.183:*,32
P2P_DISCOVER,10.218.106.36:*->10.218.105.183:*,22
P2P_DISCOVER,10.218.106.52:*->10.218.105.183:*,12
P2P_DISCOVER,10.218.107.0:*->10.218.105.183:*,39
P2P_DISCOVER,10.218.107.14:*->10.218.105.183:*,42
P2P_DISCOVER,10.218.107.158:*->10.218.105.183:*,43
P2P_DISCOVER,10.218.107.30:*->10.218.105.183:*,11
P2P_DISCOVER,10.218.107.89:*->10.218.105.183:*,32
P2P_DISCOVER,10.218.108.103:*->10.218.105.183:*,39
P2P_DISCOVER,10.218.108.113:*->10.218.105.183:*,26
P2P_DISCOVER,10.218.108.119:*->10.218.105.183:*,204
P2P_DISCOVER,10.218.108.157:*->10.218.105.183:*,41
P2P_DISCOVER,10.218.108.165:*->10.218.105.183:*,60
P2P_DISCOVER,10.218.108.233:*->10.218.105.183:*,23
P2P_DISCOVER,10.218.108.28:*->10.218.105.183:*,31
P2P_DISCOVER,10.218.108.40:*->10.218.105.183:*,79
P2P_DISCOVER,10.218.108.95:*->10.218.105.183:*,26
P2P_DISCOVER,10.218.109.176:*->10.218.105.183:*,17
P2P_DISCOVER,10.218.109.183:*->10.218.105.183:*,46
P2P_DISCOVER,10.218.109.242:*->10.218.105.183:*,20
P2P_DISCOVER,10.218.109.88:*->10.218.105.183:*,54
P2P_DISCOVER,10.218.109.93:*->10.218.105.183:*,17
P2P_DISCOVER,10.218.110.127:*->10.218.105.183:*,10
P2P_DISCOVER,10.218.110.187:*->10.218.105.183:*,63
P2P_DISCOVER,10.218.110.236:*->10.218.105.183:*,25
P2P_DISCOVER,10.218.110.237:*->10.218.105.183:*,22
P2P_DISCOVER,10.218.110.247:*->10.218.105.183:*,27
P2P_DISCOVER,10.218.110.49:*->10.218.105.183:*,21
P2P_DISCOVER,10.218.110.89:*->10.218.105.183:*,33
P2P_DISCOVER,10.218.111.172:*->10.218.105.183:*,47
P2P_DISCOVER,10.218.111.199:*->10.218.105.183:*,25
P2P_DISCOVER,10.218.111.255:*->10.218.105.183:*,1861
P2P_DISCOVER,172.18.255.255:*->172.18.0.1:*,1861
P2P_DISCOVER,192.168.122.255:*->192.168.122.1:*,1861
P2P_DISCOVER,255.255.255.255:*->10.218.105.183:*,1861
avahi-daemon,10.218.104.3:*->10.218.105.183:*,3
avahi-daemon,10.218.105.155:*->10.218.105.183:*,9
avahi-daemon,10.218.105.16:*->10.218.105.183:*,9
avahi-daemon,10.218.105.2:*->10.218.105.183:*,4
avahi-daemon,10.218.105.70:*->10.218.105.183:*,3
avahi-daemon,10.218.106.243:*->10.218.105.183:*,9
avahi-daemon,10.218.107.14:*->10.218.105.183:*,4
avahi-daemon,10.218.108.233:*->10.218.105.183:*,12
avahi-daemon,10.218.108.81:*->10.218.105.183:*,3
avahi-daemon,10.218.109.102:*->10.218.105.183:*,4
avahi-daemon,10.218.111.95:*->10.218.105.183:*,4
avahi-daemon,224.0.0.251:*->10.218.105.183:*,16
goa-identity-se,10.218.105.183:*->10.220.18.11:*,3
goa-identity-se,127.0.0.1:*->127.0.0.53:*,15
landscape-broke,10.218.105.183:*->10.220.67.136:*,3866
lwsmd,10.218.105.183:*->10.220.30.10:*,6
lwsmd,10.218.105.183:*->10.220.68.8:*,10
node,0.0.0.0:9000,10
node,0.0.0.0:9001,10
node,0.0.0.0:9002,10
node,0.0.0.0:9003,10
node,0.0.0.0:9004,10
node,10.218.105.183:9000,10
node,10.218.105.183:9001,10
node,10.218.105.183:9002,10
node,10.218.105.183:9003,10
node,10.218.105.183:9004,10
node,127.0.0.1:*->127.0.0.1:*,230
node,127.0.0.1:9000,10
node,127.0.0.1:9001,10
node,127.0.0.1:9002,10
node,127.0.0.1:9003,10
node,127.0.0.1:9004,10
node,172.18.0.1:9000,10
node,172.18.0.1:9001,10
node,172.18.0.1:9002,10
node,172.18.0.1:9003,10
node,172.18.0.1:9004,10
node,::1:9000,10
node,::1:9001,10
node,::1:9002,10
node,::1:9003,10
node,::1:9004,10
node,:::9000,10
node,:::9001,10
node,:::9002,10
node,:::9003,10
node,:::9004,10
python,127.0.0.1:*->127.0.0.1:*,100
systemd-resolve,127.0.0.1:*->127.0.0.53:*,8865
systemd-timesyn,0.0.0.0:*,27
xtl-netreq-4,127.0.0.1:*->127.0.0.53:*,10
